index,time,mp1,mp2,mp3,mp4,mp5,mp6,mp7,mt1,mt2,mt3,mt4,mt5,mt6,mt7,dt
61,61,0.122,1.79769e-07,6.09398e-05,2.34891e-05,-2.62455e-05,5.80036e-05,5.59664e-05,-4.80568e-05,1.43003,0.524688,0.166687,0.764878,-0.168152,0.51865,0.16187,0.002
62,62,0.124,2.39656e-07,6.11196e-05,2.34891e-05,-2.64852e-05,5.80036e-05,5.59664e-05,-4.554e-05,1.42746,0.504112,0.168031,0.766222,-0.168152,0.51865,0.144181,0.002
63,63,0.126,2.39656e-07,6.13592e-05,2.34891e-05,-2.64852e-05,5.80036e-05,5.58465e-05,-4.20646e-05,1.42232,0.496396,0.169375,0.774288,-0.169912,0.520319,0.122821,0.002
64,64,0.128,1.79769e-07,6.1539e-05,2.3549e-05,-2.64852e-05,5.83872e-05,5.58465e-05,-3.8709e-05,1.42746,0.480964,0.168031,0.764878,-0.171673,0.517983,0.117814,0.002
65,65,0.13,1.79769e-07,6.16589e-05,2.3549e-05,-2.64852e-05,5.83872e-05,5.58465e-05,-3.55932e-05,1.42489,0.483536,0.166687,0.755468,-0.176955,0.519651,0.115478,0.002
66,66,0.132,1.79769e-07,6.18985e-05,2.36688e-05,-2.6545e-05,5.83872e-05,5.59664e-05,-3.14586e-05,1.41974,0.47582,0.163998,0.746059,-0.173434,0.518984,0.110472,0.002
67,67,0.134,2.99651e-07,6.21981e-05,2.37287e-05,-2.66049e-05,5.86748e-05,5.58465e-05,-2.62455e-05,1.41203,0.468104,0.16131,0.755468,-0.176075,0.520319,0.106801,0.002
68,68,0.136,2.39656e-07,6.25576e-05,2.38486e-05,-2.66049e-05,5.89625e-05,5.58465e-05,-2.0553e-05,1.41974,0.46296,0.158621,0.751436,-0.175195,0.521654,0.102128,0.002
69,69,0.138,2.39656e-07,6.29172e-05,2.39085e-05,-2.66649e-05,5.92501e-05,5.57866e-05,-1.42013e-05,1.40946,0.4501,0.1519,0.76219,-0.176955,0.518984,0.096788,0.002
70,70,0.14,2.99651e-07,6.33366e-05,2.39685e-05,-2.66649e-05,5.95375e-05,5.59664e-05,-7.37031e-06,1.41717,0.4501,0.143835,0.755468,-0.178716,0.517649,0.0934505,0.002
71,71,0.142,2.39656e-07,6.36961e-05,2.40883e-05,-2.66649e-05,5.98252e-05,5.58465e-05,-9.58731e-07,1.41717,0.43724,0.146523,0.758157,-0.175195,0.518316,0.091448,0.002
72,72,0.144,2.99651e-07,6.40557e-05,2.4268e-05,-2.66649e-05,6.02088e-05,5.58465e-05,4.43412e-06,1.40688,0.444956,0.14249,0.754124,-0.173434,0.518984,0.0897792,0.002
73,73,0.146,2.39656e-07,6.4595e-05,2.43879e-05,-2.67847e-05,6.08799e-05,5.58465e-05,9.34766e-06,1.4146,0.439812,0.137113,0.75278,-0.182238,0.519985,0.0864417,0.002
74,74,0.148,2.39656e-07,6.50744e-05,2.45077e-05,-2.67847e-05,6.18386e-05,5.57866e-05,1.37219e-05,1.39917,0.432096,0.134425,0.75278,-0.182238,0.520319,0.0871092,0.002
75,75,0.15,2.99651e-07,6.56736e-05,2.47475e-05,-2.67847e-05,6.35644e-05,5.58465e-05,1.76168e-05,1.42232,0.41152,0.130392,0.737993,-0.177836,0.519318,0.0854404,0.002
76,76,0.152,2.39656e-07,6.61529e-05,2.5047e-05,-2.69046e-05,6.66323e-05,5.58465e-05,2.10323e-05,1.4146,0.3858,0.126359,0.739337,-0.191041,0.517983,0.0854404,0.002
77,77,0.154,2.39656e-07,6.66922e-05,2.52268e-05,-2.69046e-05,7.133e-05,5.58465e-05,2.37287e-05,1.40946,0.3858,0.118294,0.742026,-0.194563,0.518984,0.0857742,0.002
78,78,0.156,2.99651e-07,6.73514e-05,2.54065e-05,-2.69046e-05,7.79454e-05,5.59664e-05,2.6545e-05,1.39917,0.370368,0.120982,0.737993,-0.18752,0.519651,0.0847729,0.002
79,79,0.158,2.39656e-07,6.80105e-05,2.55863e-05,-2.70245e-05,8.5807e-05,5.58465e-05,2.94212e-05,1.40431,0.36008,0.10754,0.744714,-0.197204,0.519651,0.0831042,0.002
80,80,0.16,3.59538e-07,6.89692e-05,2.5886e-05,-2.70245e-05,9.5011e-05,5.59664e-05,3.16383e-05,1.40946,0.316356,0.096786,0.747403,-0.204247,0.518984,0.0864417,0.002
81,81,0.162,2.99651e-07,7.10664e-05,2.61855e-05,-2.70245e-05,0.000106132,5.57866e-05,3.42749e-05,1.40946,0.228908,0.0887205,0.750091,-0.202486,0.520319,0.0831042,0.002
82,82,0.164,2.99651e-07,7.47217e-05,2.63653e-05,-2.70245e-05,0.000119459,5.58465e-05,3.71511e-05,1.40431,0.0925919,0.0927532,0.759501,-0.207768,0.519318,0.0821029,0.002
83,83,0.166,2.99651e-07,7.92757e-05,2.66649e-05,-2.70245e-05,0.000135182,5.59664e-05,4.07463e-05,1.4146,-0.082304,0.0873762,0.774288,-0.209529,0.517315,0.0817692,0.002
84,84,0.168,2.99651e-07,8.41892e-05,2.69645e-05,-2.70245e-05,0.000153302,5.59664e-05,4.7817e-05,1.40688,-0.262344,0.0712452,0.798484,-0.21041,0.515646,0.0737591,0.002
85,85,0.17,2.99651e-07,8.95821e-05,2.74439e-05,-2.70245e-05,0.000173532,5.59664e-05,5.9262e-05,1.4146,-0.468104,0.0685567,0.837468,-0.220974,0.517315,0.0690866,0.002
86,86,0.172,2.99651e-07,9.53345e-05,2.78633e-05,-2.70245e-05,0.000196637,5.6146e-05,7.46617e-05,1.40431,-0.637856,0.05377,0.879139,-0.225376,0.514645,0.0654153,0.002
87,87,0.174,2.99651e-07,0.000101207,2.8163e-05,-2.68447e-05,0.000221564,5.59664e-05,9.33571e-05,1.39917,-0.812752,0.048393,0.916778,-0.223615,0.514311,0.0620778,0.002
88,88,0.176,2.99651e-07,0.000106779,2.85824e-05,-2.69046e-05,0.00024793,5.6146e-05,0.000115648,1.40431,-0.936207,0.0457045,0.94904,-0.221854,0.509639,0.0587403,0.002
89,89,0.178,3.59538e-07,0.000112112,2.90617e-05,-2.69046e-05,0.000275829,5.59664e-05,0.000141354,1.38888,-1.04166,0.0336062,0.959794,-0.228897,0.510306,0.0554028,0.002
90,90,0.18,3.59538e-07,0.000117865,2.94812e-05,-2.69046e-05,0.000304495,5.6146e-05,0.000169337,1.40174,-1.1394,0.0295735,0.963827,-0.228897,0.5053,0.056404,0.002
91,91,0.182,2.99651e-07,0.000124696,2.98408e-05,-2.69046e-05,0.000333449,5.59664e-05,0.00019786,1.40174,-1.24742,0.026885,0.963827,-0.232419,0.508304,0.055069,0.002
92,92,0.184,4.19424e-07,0.000132426,3.038e-05,-2.70245e-05,0.000361828,5.6146e-05,0.000224524,1.40688,-1.3683,0.00672125,0.96786,-0.23418,0.5053,0.0544015,0.002
93,93,0.186,3.59538e-07,0.000141174,3.09793e-05,-2.69046e-05,0.000390494,5.6146e-05,0.000249212,1.40688,-1.50205,0.00134425,0.992056,-0.240342,0.506635,0.0534003,0.002
94,94,0.188,3.59538e-07,0.000150522,3.2717e-05,-2.68447e-05,0.000418681,5.6146e-05,0.000272282,1.38888,-1.62036,-0.0201637,1.03104,-0.237701,0.506301,0.0517315,0.002
95,95,0.19,4.19424e-07,0.000160409,3.60126e-05,-2.66649e-05,0.000447059,5.59664e-05,0.000293853,1.39402,-1.69495,-0.0457045,1.09556,-0.244744,0.503298,0.0507303,0.002
96,96,0.192,5.99193e-07,0.000170775,4.06266e-05,-2.66049e-05,0.000475151,5.62659e-05,0.000314586,1.38116,-1.77211,-0.0510815,1.15471,-0.252668,0.49996,0.049729,0.002
97,97,0.194,9.58731e-07,0.000181861,4.6379e-05,-2.63653e-05,0.000503337,5.6146e-05,0.000335199,1.36316,-1.82869,-0.0443602,1.2031,-0.247385,0.498959,0.0487277,0.002
98,98,0.196,1.25838e-06,0.000193665,5.29103e-05,-2.62455e-05,0.000531716,5.62659e-05,0.000355752,1.32972,-1.87241,-0.0524257,1.22596,-0.246505,0.49462,0.0477265,0.002
99,99,0.198,1.55792e-06,0.000206308,6.02207e-05,-2.62455e-05,0.000560191,5.62659e-05,0.000376005,1.32201,-1.90328,-0.0725895,1.22864,-0.250026,0.492951,0.048394,0.002
100,100,0.2,2.33689e-06,0.000219611,6.81303e-05,-2.62455e-05,0.000588473,5.62659e-05,0.000396079,1.25514,-1.92128,-0.0766222,1.22058,-0.251787,0.494286,0.0467252,0.002
101,101,0.202,3.71515e-06,0.000233393,7.68788e-05,-2.63653e-05,0.000615989,5.62659e-05,0.000416212,1.18312,-1.88785,-0.0658682,1.19773,-0.245625,0.493285,0.0447227,0.002
102,102,0.204,5.6925e-06,0.000247894,8.64662e-05,-2.63054e-05,0.000643601,5.63858e-05,0.000436286,1.08796,-1.84669,-0.0672125,1.19101,-0.242983,0.493285,0.0437215,0.002
